SYSTEM.COMPILER segment/procedure map -- Apple Pascal 1.1
source image : Apple II Pascal 1.1 APPLE2_ 680-0005-01.dsk
file blocks  : 6..80 (75 blocks, 38400 bytes)
copyright    : (C)Apple Computer Inc. 1979,1980 (C)U.C.Regents 1979

Derived directly from the binary by tools/a2pascal/codefile.py.
VERIFIED BINARY FACT unless marked otherwise.

--- segment  1  PASCALCO  dictslot=1  block=1   len=4486   mtype=pcode-lsb ver=2 nproc=29
     21 0x0892 0x083E 0x0887      2      0    2    73  y  pcode
     22 0x0BEC 0x0894 0x0BCF     10     20    2   827  y  pcode
     23 0x1278 0x11F8 0x126E     10      4    2   118  y  pcode
     24 0x0192 0x0178 0x0188      0     38    2    16  y  pcode
     25 0x015A 0x0000 0x0145      0      4    3   325  y  pcode
     26 0x0176 0x015C 0x0160      0      0    3     4  y  pcode
     27 0x02CA 0x02A0 0x02BF      2      0    2    31  y  pcode
     28 0x0DA0 0x0C8A 0x0D92      0      4    3   264  y  pcode
     29 0x0F5C 0x0DA2 0x0F4C      0     16    3   426  y  pcode
     30 0x11F6 0x0F5E 0x11DE      0     16    3   640  y  pcode
     31 0x12AC 0x127A 0x12A1      4      0    3    39  y  pcode
     32 0x12E8 0x12AE 0x12DD      2      0    3    47  y  pcode
     33 0x1924 0x17A0 0x190F      8     14    3   367  y  pcode
     34 0x179E 0x164A 0x1789      8     14    4   319  y  pcode
     35 0x1648 0x12EA 0x162C      8     36    5   834  y  pcode
     36 0x1954 0x1926 0x194A      4      4    3    36  y  pcode
     37 0x1BC0 0x1BA6 0x1BAA      0      0    2     4  y  pcode

--- segment 10  ROUTINE   dictslot=5  block=47  len=2902   mtype=pcode-lsb ver=2 nproc=17
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0B30 0x0A6C 0x0B26     12     24    2   186  y  pcode
      2 0x0018 0x0000 0x000E      0      0    3    14  y  pcode
      3 0x002E 0x001A 0x0023      0      0    3     9  y  pcode
      4 0x00AA 0x0030 0x009F     10      2    3   111  y  pcode
      5 0x0192 0x00AC 0x0182      0     20    3   214  y  pcode
      6 0x01F8 0x0194 0x01EE      0      0    3    90  y  pcode
      7 0x0274 0x01FA 0x0269      0      4    3   111  y  pcode
      8 0x02F2 0x0276 0x02E8      0      0    3   114  y  pcode
      9 0x0394 0x02F4 0x0387      0      4    3   147  y  pcode
     10 0x0450 0x0396 0x0445      0      4    3   175  y  pcode
     11 0x04A8 0x0452 0x049D      0      0    3    75  y  pcode
     12 0x055E 0x04AA 0x0553      0      0    3   169  y  pcode
     13 0x060E 0x0560 0x0603      0      0    3   163  y  pcode
     14 0x0694 0x0610 0x0689      0      0    3   121  y  pcode
     15 0x072C 0x0696 0x0721      0      0    3   139  y  pcode
     16 0x0760 0x072E 0x0755      0      2    3    39  y  pcode
     17 0x0A6A 0x0762 0x0A5C      0      0    3   762  y  pcode

--- segment 11  STATEMEN  dictslot=6  block=53  len=1598   mtype=pcode-lsb ver=2 nproc=8
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x062A 0x04A8 0x061A      8     10    2   370  y  pcode
      2 0x01BE 0x0000 0x01AE      2     18    3   430  y  pcode
      3 0x0234 0x01C0 0x0225      0      8    3   101  y  pcode
      4 0x027A 0x0236 0x026C      0      0    3    54  y  pcode
      5 0x030C 0x027C 0x0302      0     10    3   134  y  pcode
      6 0x0368 0x030E 0x0359      0      2    3    75  y  pcode
      7 0x03B2 0x036A 0x03A8      0      4    3    62  y  pcode
      8 0x04A6 0x03B4 0x049A      0      8    3   230  y  pcode

--- segment 12  CASESTAT  dictslot=7  block=57  len=436    mtype=pcode-lsb ver=2 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x01AE 0x0000 0x0196      0     26    3   406  y  pcode

--- segment 13  FORSTATE  dictslot=8  block=58  len=512    mtype=pcode-lsb ver=2 nproc=1
