SYSTEM.COMPILER segment/procedure map -- Apple Pascal 1.3
source image : Apple II Pascal 1.3 APPLE2_ 680-0284-A.dsk
file blocks  : 56..133 (78 blocks, 39936 bytes)
copyright    : COPYRIGHT 1979,1980,1983-1985 APPLE COMPUTER, INC. ALL RIGHTS RESERVED

Derived directly from the binary by tools/a2pascal/codefile.py.
VERIFIED BINARY FACT unless marked otherwise.

--- segment  1  PASCALCO  dictslot=1  block=1   len=5606   mtype=6502      ver=6 nproc=31
    contains native 6502 procedures: [2, 3]
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
     16 0x0560 0x04CA 0x0555      4      4    2   139  y  pcode
     17 0x0582 0x0562 0x0578      2      0    2    22  y  pcode
     18 0x05A0 0x0584 0x0596      2      2    2    18  y  pcode
     19 0x05F4 0x05A2 0x05E8      2      6    2    70  y  pcode
     20 0x0762 0x070C 0x0758      2      2    2    76  y  pcode
     21 0x089A 0x0846 0x088F      2      0    2    73  y  pcode
     22 0x0BF4 0x089C 0x0BD7     10     20    2   827  y  pcode
     23 0x1304 0x1284 0x12FA     10      4    2   118  y  pcode
     24 0x0194 0x017A 0x018A      0     38    2    16  y  pcode
     25 0x015C 0x0026 0x014A      0      4    3   292  y  pcode
     26 0x0024 0x0000 0x001A      2      0    4    26  y  pcode
     27 0x0178 0x015E 0x0162      0      0    3     4  y  pcode
     28 0x02CE 0x02A4 0x02C3      2      0    2    31  y  pcode
     29 0x0DA8 0x0C92 0x0D9A      0      4    3   264  y  pcode
     30 0x0F6A 0x0DAA 0x0F59      0     16    3   431  y  pcode
     31 0x1282 0x0F6C 0x126A      0     18    3   766  y  pcode
     32 0x1338 0x1306 0x132D      4      0    3    39  y  pcode
     33 0x1374 0x133A 0x1369      2      0    3    47  y  pcode
     34 0x19B0 0x182C 0x199B      8     14    3   367  y  pcode
     35 0x182A 0x16D6 0x1815      8     14    4   319  y  pcode
     36 0x16D4 0x1376 0x16B8      8     36    5   834  y  pcode
     37 0x1A16 0x19B2 0x1A0B      4     10    3    89  y  pcode
     38 0x1CB4 0x1C9A 0x1C9E      0      0    2     4  y  pcode

--- segment 10  ROUTINE   dictslot=5  block=50  len=2892   mtype=pcode-lsb ver=6 nproc=17
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0B26 0x0A62 0x0B1C     12     24    2   186  y  pcode
      2 0x0018 0x0000 0x000E      0      0    3    14  y  pcode
      3 0x002E 0x001A 0x0023      0      0    3     9  y  pcode
      4 0x00AA 0x0030 0x009F     10      2    3   111  y  pcode
      5 0x0192 0x00AC 0x0182      0     20    3   214  y  pcode
      6 0x01F8 0x0194 0x01EE      0      0    3    90  y  pcode
      7 0x0274 0x01FA 0x0269      0      4    3   111  y  pcode
      8 0x02F2 0x0276 0x02E8      0      0    3   114  y  pcode
      9 0x0390 0x02F4 0x0384      0      4    3   144  y  pcode
     10 0x0448 0x0392 0x043E      0      4    3   172  y  pcode
     11 0x04A0 0x044A 0x0495      0      0    3    75  y  pcode
     12 0x0556 0x04A2 0x054B      0      0    3   169  y  pcode
     13 0x0606 0x0558 0x05FB      0      0    3   163  y  pcode
     14 0x068C 0x0608 0x0681      0      0    3   121  y  pcode
     15 0x0724 0x068E 0x0719      0      0    3   139  y  pcode
     16 0x0758 0x0726 0x074D      0      2    3    39  y  pcode
     17 0x0A60 0x075A 0x0A52      0      0    3   760  y  pcode

--- segment 11  STATEMEN  dictslot=6  block=56  len=1690   mtype=pcode-lsb ver=6 nproc=8
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0686 0x04EE 0x0676      8     12    2   392  y  pcode
      2 0x021A 0x0000 0x0204      2     18    3   516  y  pcode
      3 0x0290 0x021C 0x0281      0      8    3   101  y  pcode
      4 0x02D6 0x0292 0x02C8      0      0    3    54  y  pcode
      5 0x0368 0x02D8 0x035E      0     10    3   134  y  pcode
      6 0x03C4 0x036A 0x03B5      0      2    3    75  y  pcode
      7 0x040E 0x03C6 0x0404      0      4    3    62  y  pcode
      8 0x04EC 0x0410 0x04E0      0      8    3   208  y  pcode

--- segment 12  CASESTAT  dictslot=7  block=60  len=512    mtype=pcode-lsb ver=6 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x01FA 0x0000 0x01DF      0     28    3   479  y  pcode

--- segment 13  FORSTATE  dictslot=8  block=61  len=498    mtype=pcode-lsb ver=6 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x01EC 0x0000 0x01E0      0     20    3   480  y  pcode

--- segment 14  BODY1     dictslot=9  block=62  len=326    mtype=pcode-lsb ver=6 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0140 0x0000 0x012C      0      4    3   300  y  pcode

--- segment 15  BODY3     dictslot=10 block=63  len=902    mtype=pcode-lsb ver=6 nproc=2
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x037E 0x01EE 0x036D      0      4    3   383  y  pcode
      2 0x01EC 0x0000 0x01D4      0      2    4   468  y  pcode

--- segment 16  WRITELIN  dictslot=11 block=65  len=826    mtype=pcode-lsb ver=6 nproc=4
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x032E 0x02D0 0x0321      0     14    1    81  y  pcode
      2 0x00FA 0x003C 0x00EA      2     16    2   174  y  pcode
      3 0x003A 0x0000 0x0030      0      0    3    48  y  pcode
      4 0x02CE 0x00FC 0x02BB      2      2    2   447  y  pcode

--- segment 17  UNITPART  dictslot=12 block=67  len=1664   mtype=pcode-lsb ver=6 nproc=4
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0674 0x03BC 0x0664      8     12    1   680  y  pcode
      2 0x0030 0x0000 0x0026      0      0    2    38  y  pcode
      3 0x0310 0x0032 0x02FA     10     36    2   712  y  pcode
      4 0x03BA 0x0312 0x03B0      0      6    2   158  y  pcode

--- segment 18  COMPOPTI  dictslot=13 block=71  len=1098   mtype=pcode-lsb ver=6 nproc=5
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x043C 0x0174 0x0428      6     56    1   692  y  pcode
      2 0x0012 0x0000 0x0008      0      0    2     8  y  pcode
      3 0x00A0 0x0014 0x0093      4      6    2   127  y  pcode
      4 0x0172 0x00D2 0x0166      0      8    2   148  y  pcode
      5 0x00D0 0x00A2 0x00C6      2      4    3    36  y  pcode

--- segment 19  NUMSTRIN  dictslot=14 block=74  len=898    mtype=pcode-lsb ver=6 nproc=3
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0378 0x0364 0x036D      4      0    1     9  y  pcode
      2 0x00B6 0x0000 0x00A8      0     92    2   168  y  pcode
      3 0x0362 0x00B8 0x0341      0     32    2   649  y  pcode

--- segment 20  FINISHUP  dictslot=15 block=76  len=650    mtype=pcode-lsb ver=6 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0284 0x0000 0x026E      0      4    1   622  y  pcode
