Apple Pascal 1.1 SYSTEM.ASSMBLER -- global data map

Global area: offsets 1..2177 (4354 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 122
Words accounted for by inferred objects: 2158 of 2177
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
  636 aggregate       7     0     0    3     3  bounded by next touched offset | passed to CLP 23 x1; passed to CSP 10 FILLCHAR x1; passed to CLP 6 x1
  643 aggregate       7     0     0    3     3  bounded by next touched offset | passed to CLP 23 x1; passed to CSP 10 FILLCHAR x1; passed to CLP 6 x1
  650 aggregate       7     0     0    6     3  bounded by next touched offset | passed to CLP 23 x4; passed to CSP 10 FILLCHAR x1; passed to CLP 6 x1
  657 scalar          1    13     6    0     4  word access only
  658 scalar          1     6    12    0     5  word access only
  659 scalar          1     9     5    0    10  word access only
  660 scalar          1    12     3    0    10  word access only
  661 aggregate       6     0     0    6     5  bounded by next touched offset | IXA element=1 word(s) x6
  667 aggregate       6     0     0    4     3  bounded by next touched offset | IXA element=1 word(s) x4
  673 aggregate       6     0     0    7     4  bounded by next touched offset | IXA element=1 word(s) x6; passed to CSP 10 FILLCHAR x1
  679 aggregate       6     0     0    2     2  bounded by next touched offset | IXA element=1 word(s) x2
  685 aggregate       6     0     0   12     7  bounded by next touched offset | IXA element=1 word(s) x12
  691 aggregate     147     0     0   20     6  bounded by next touched offset | IXA element=7 word(s) x20
  838 aggregate     128     0     0    2     2  sized by MOV/LDM/STM/compare | MOV 128 word(s) x2
  966 aggregate     128     0     0   11     6  sized by MOV/LDM/STM/compare | IXA element=1 word(s) x9; MOV 128 word(s) x2
 1094 scalar          1    10     1    0     2  word access only
 1095 aggregate      40     0     0    5     3  bounded by next touched offset | passed to OS.6 FCLOSE x2; passed to OS.3 FINIT x1; passed to OS.28 FBLOCKIO x1
 1135 aggregate     260     4     0   12     7  bounded by next touched offset | passed to OS.6 FCLOSE x4; passed to OS.5 FOPEN x4; passed to OS.8 FPUT x2
 1395 aggregate      40     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
 1435 aggregate       8     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
 1443 aggregate     132     0     0   34     2  bounded by next touched offset | IXA element=4 word(s) x34
 1575 aggregate      33     0     0   34     2  bounded by next touched offset | IXA element=1 word(s) x34
 1608 aggregate     512     0     0   26     5  bounded by next touched offset | LDB (byte) x9; passed to CSP 11 SCAN x8; passed to CSP 2 MOVELEFT x6
 2120 aggregate       8     0     0   17     5  sized by MOV/LDM/STM/compare | LDB (byte) x16; MOV 8 word(s) x1
 2136 aggregate      11     0     0    4     3  sized by MOV/LDM/STM/compare | MOV 11 word(s) x3; STB (byte) x1
 2147 aggregate      11     0     0   28     5  sized by MOV/LDM/STM/compare | STB (byte) x8; MOV 11 word(s) x3; LDB (byte) x2
 2158 scalar-byref      1     0     0    3     3  address taken only to pass it | passed to CSP 32 MARK x2; passed to CSP 33 RELEASE x1
 2159 aggregate       4     0     0    3     3  sized by MOV/LDM/STM/compare | MOV 4 word(s) x2; passed to OS.20 FWRITEBYTES x1
 2163 aggregate       4     0     0    2     1  sized by MOV/LDM/STM/compare | LDB (byte) x1; MOV 4 word(s) x1
 2167 aggregate      11     0     0    3     3  bounded by next touched offset | IXA element=1 word(s) x2; passed to CSP 10 FILLCHAR x1

File variables, from FINIT(f, window, recwords) call sites:

  The window is always +300: BODY emits `LDA 0,VADDR` then
  `LDA 0,VADDR+FILESIZE`, and compglbls.text has FILESIZE = 300
  (NILFILESIZE = 40). It emits that for every file variable,
  typed or not -- so only a TEXT or FILE OF T is really 300+
  words and actually has a window there. The other three
  addresses below are not objects at all; they land inside LP.
  Finding 43.

  FIB at word 1095, window buffer at word 1395 (+300), recwords=-1  [text file]   (TLA.1)

Busiest globals (by total accesses):

