Apple Pascal 1.1 SYSTEM.COMPILER -- global data map

Global area: offsets 1..1224 (2448 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (PASCALCO, lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 133
Words accounted for by inferred objects: 1228 of 1224
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
   96 scalar-byref      1    11    13    1     9  address taken only to pass it | passed to CXP 1,10 x1
   97 scalar          1     6     6    0     8  word access only
   98 aggregate       4     0     0    7     3  sized by MOV/LDM/STM/compare | LDM 4 word(s) x6; STM 4 word(s) x1
  102 aggregate       4     0     0    9     9  sized by MOV/LDM/STM/compare | LDM 4 word(s) x8; STM 4 word(s) x1
  106 aggregate       4     0     0    5     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x4; STM 4 word(s) x1
  110 aggregate       4     0     0    6     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x5; STM 4 word(s) x1
  114 aggregate       4     0     0    7     5  sized by MOV/LDM/STM/compare | LDM 4 word(s) x6; STM 4 word(s) x1
  118 aggregate       4     0     0    4     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x4
  122 aggregate       4     0     0    6     3  sized by MOV/LDM/STM/compare | LDM 4 word(s) x6
  126 aggregate       4     0     0    5     2  sized by MOV/LDM/STM/compare | LDM 4 word(s) x4; STM 4 word(s) x1
  130 scalar          1     8     1    0     9  word access only
  131 aggregate      52     0     0   28    18  bounded by next touched offset | IXA element=4 word(s) x28
  183 aggregate       2     0     0   22     7  sized by MOV/LDM/STM/compare | LDM 2 word(s) x20; STM 2 word(s) x1; passed to CSP 2 MOVELEFT x1
  185 aggregate     150     0     0    8     5  bounded by next touched offset | IXA element=1 word(s) x6; IND 11 x1; passed to CSP 2 MOVELEFT x1
  335 aggregate     144     0     0   23    11  bounded by next touched offset | IXA element=9 word(s) x22; IND 9 x1
  479 aggregate       8     0     0   12     9  bounded by next touched offset | IXA element=9 word(s) x9; IND 9 x1
  487 scalar-byref      1     3     1    1     3  address taken only to pass it | passed to CSP 1 NEW x1
  488 aggregate      21     0     0    3     2  bounded by next touched offset | passed to CLP 3 x1; passed to OS.5 FOPEN x1
  509 scalar          1     4     3    0     4  word access only
  510 aggregate      25     0     0    2     2  bounded by next touched offset | SIND 2 x1; IXA element=1 word(s) x1
  535 aggregate      40     0     0    8     5  bounded by next touched offset | passed to OS.28 FBLOCKIO x3; passed to OS.6 FCLOSE x2; passed to OS.3 FINIT x1
  575 scalar          1    10     2    0     5  word access only
  576 scalar          1     5     3    0     3  word access only
  577 scalar-byref      1     6     0    1     5  address taken only to pass it | passed to CSP 1 NEW x1
  578 scalar          1     5     2    0     2  word access only
  579 scalar          1     1     1    0     2  word access only
  580 scalar          1     1     1    0     2  word access only
  581 scalar          1     1     1    0     2  word access only
  582 scalar          1     1     1    0     2  word access only
  583 scalar          1     1     1    0     2  word access only
  584 scalar          1     1     1    0     2  word access only
  585 scalar          1     1     3    0     2  word access only
  586 aggregate      40     0     0   10     5  bounded by next touched offset | passed to OS.6 FCLOSE x4; passed to OS.28 FBLOCKIO x3; passed to OS.5 FOPEN x2
  626 aggregate      40     0     0    5     3  bounded by next touched offset | passed to OS.6 FCLOSE x2; passed to OS.3 FINIT x1; passed to OS.28 FBLOCKIO x1
  666 aggregate     169     0     0   18     4  bounded by next touched offset | passed to OS.13 FWRITEINT x5; passed to OS.17 FWRITECHAR x4; passed to OS.6 FCLOSE x2
  835 aggregate      51     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
  886 aggregate      40     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
  926 aggregate      40     0     0    1     1  bounded by next touched offset | passed to OS.3 FINIT x1
  966 scalar-byref      1     0     0    1     1  address taken only to pass it | passed to OS.3 FINIT x1
  967 scalar          1     6     3    0     6  word access only
  968 scalar          1     4     6    0     5  word access only
  969 aggregate     256     0     0    6     2  bounded by next touched offset | passed to OS.28 FBLOCKIO x3; STB (byte) x2; passed to CSP 2 MOVELEFT x1

File variables, from FINIT(f, window, recwords) call sites:

  The window is always +300: BODY emits `LDA 0,VADDR` then
  `LDA 0,VADDR+FILESIZE`, and compglbls.text has FILESIZE = 300
  (NILFILESIZE = 40). It emits that for every file variable,
  typed or not -- so only a TEXT or FILE OF T is really 300+
  words and actually has a window there. The other three
  addresses below are not objects at all; they land inside LP.
  Finding 43.

  FIB at word  666, window buffer at word  966 (+300), recwords=-2  [text file]   (PASCALCO.1)
  FIB at word  586, window buffer at word  886 (+300), recwords=-1  [text file]   (PASCALCO.1)
  FIB at word  626, window buffer at word  926 (+300), recwords=-1  [text file]   (PASCALCO.1)
  FIB at word  535, window buffer at word  835 (+300), recwords=-1  [text file]   (PASCALCO.1)

Busiest globals (by total accesses):

  word   15  scalar     rd=256  wr=24   &=0   used by 60 procedures
        BODY3.1, BODYPART.11, BODYPART.12, BODYPART.22, BODYPART.23, BODYPART.25, BODYPART.28, BODYPART.29, BODYPART.30, BODYPART.33, BODYPART.34, BODYPART.35 ...
  word    3  record     rd=202  wr=62   &=10  used by 32 procedures
        BODYPART.10, BODYPART.11, BODYPART.15, BODYPART.17, BODYPART.22, BODYPART.28, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.32, BODYPART.33, BODYPART.34 ...
  word   14  scalar-byref rd=112  wr=47   &=1   used by 14 procedures
        COMPOPTI.1, COMPOPTI.3, COMPOPTI.4, DECLARAT.12, FINISHUP.1, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.12, PASCALCO.2, PASCALCO.26, PASCALCO.3, PASCALCO.4 ...
  word    9  scalar     rd=69   wr=40   &=0   used by 25 procedures
        BODY1.1, BODY3.1, BODY3.2, BODYPART.16, BODYPART.19, BODYPART.3, BODYPART.30, BODYPART.35, BODYPART.5, CASESTAT.1, COMPINIT.1, FINISHUP.1 ...
  word   13  scalar     rd=48   wr=26   &=0   used by 15 procedures
        BODY3.1, BODYPART.30, COMPINIT.1, COMPINIT.9, DECLARAT.11, DECLARAT.12, DECLARAT.19, FINISHUP.1, PASCALCO.11, PASCALCO.23, PASCALCO.24, PASCALCO.4 ...
  word   10  scalar     rd=45   wr=28   &=0   used by 16 procedures
        BODY1.1, COMPINIT.1, COMPINIT.9, DECLARAT.11, DECLARAT.18, DECLARAT.19, DECLARAT.20, FORSTATE.1, PASCALCO.12, PASCALCO.24, ROUTINE.10, ROUTINE.9 ...
  word    1  scalar-byref rd=66   wr=0    &=1   used by 14 procedures
        COMPINIT.9, COMPOPTI.1, COMPOPTI.3, COMPOPTI.4, FINISHUP.1, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.12, PASCALCO.2, PASCALCO.26, PASCALCO.3, PASCALCO.4 ...
  word   12  scalar-byref rd=58   wr=0    &=1   used by 23 procedures
        BODYPART.28, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.32, BODYPART.33, BODYPART.34, BODYPART.35, COMPINIT.2, COMPINIT.3, COMPINIT.8, DECLARAT.3 ...
  word   11  scalar     rd=36   wr=19   &=0   used by 17 procedures
        BODYPART.25, BODYPART.28, BODYPART.29, BODYPART.35, CASESTAT.1, DECLARAT.10, DECLARAT.15, DECLARAT.18, DECLARAT.20, DECLARAT.3, DECLARAT.6, DECLARAT.8 ...
  word    8  scalar     rd=38   wr=13   &=0   used by 18 procedures
        BODY1.1, BODY3.1, BODYPART.25, COMPINIT.1, DECLARAT.1, DECLARAT.15, DECLARAT.18, DECLARAT.19, DECLARAT.3, DECLARAT.4, PASCALCO.24, PASCALCO.5 ...
  word    5  aggregate  rd=21   wr=22   &=5   used by 12 procedures
        BODYPART.10, BODYPART.22, BODYPART.28, BODYPART.3, BODYPART.30, BODYPART.35, BODYPART.5, BODYPART.8, BODYPART.9, ROUTINE.4, STATEMEN.2, STATEMEN.8
